  0.092 (0.000): C4117: pc: 02000bec Decode: ADDI r13=0x00000001, r1=0x02000158, imm=0x00000001
  0.092 (0.000): C4120: pc: 02000bf0 Decode: SW r10=0x00900014, r11=0x00000002, imm=0x00000008
  0.092 (0.000): C4123: pc: 02000bf4 Decode: ADDI r0=0x00000000, r7=0x00000000, imm=0x00000007
  0.092 (0.000): C4126: pc: 02000bf8 Decode: ADDI r12=0x00000007, r0=0x00000000, imm=0x00000000
  0.092 (0.000): C4129: pc: 02000bfc Decode: JALR r1=0x02000158, r0=0x00000000, imm=0x00000000
  0.092 (0.000): C4132: pc: 02000158 Decode: ANDI r10=0x00000007, r31=0x00000000, imm=0x000000ff
  0.092 (0.000): C4135: pc: 0200015c Decode: BNE r10=0x00000007, r18=0x00000007, imm=0x00000060
  0.092 (0.000): C4138: pc: 02000160 Decode: LUI r0=0x00000000, r9=0x00900014, imm=0x00900000
  0.092 (0.000): C4141: pc: 02000164 Decode: ADDI r10=0x00900000, r8=0x00000000, imm=0x00000008
  0.092 (0.000): C4144: pc: 02000168 Decode: ADDI r8=0x00900008, r12=0x00000007, imm=0x0000000c
  0.092 (0.000): C4147: pc: 0200016c Decode: ADDI r2=0x008fff8c, r0=0x00000000, imm=0x00000000
  0.092 (0.000): C4150: pc: 02000170 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00001000
  0.092 (0.000): C4153: pc: 02000174 Decode: JALR r1=0x02001170, r16=0x00000000, imm=0xfffffa90
  0.092 (0.000): C4156: pc: 02000c00 Decode: LW r11=0x00900014, r4=0x00000000, imm=0x00000004
  0.092 (0.000): C4159: pc: 02000c04 Decode: LW r11=0x00900014, r8=0x00900008, imm=0x00000008
  0.092 (0.000): C4162: pc: 02000c08 Decode: BLTU r13=0x00040000, r12=0x00000002, imm=0x00000030
  0.092 (0.000): C4165: pc: 02000c0c Decode: LW r11=0x00900014, r0=0x00000000, imm=0x00000000
  0.092 (0.000): C4168: pc: 02000c10 Decode: SLLI r12=0x00000002, r2=0x008fff8c, imm=0x00000002
  0.092 (0.000): C4171: pc: 02000c14 Decode: ADD r14=0x03f00000, r15=0x00000008, imm=0x00000000
  0.092 (0.000): C4174: pc: 02000c18 Decode: SUB r13=0x00040000, r12=0x00000002, imm=0x00000000
